company_id,skill_id,requirement_type,proficiency_level,weightage_percentage
1,1,Mandatory,Expert,25
1,6,Mandatory,Advanced,20
1,18,Mandatory,Advanced,15
1,19,Preferred,Intermediate,10
1,21,Preferred,Intermediate,8
1,28,Mandatory,Expert,12
1,29,Preferred,Advanced,5
1,14,Preferred,Intermediate,5
2,1,Mandatory,Expert,20
2,7,Mandatory,Advanced,18
2,2,Mandatory,Advanced,15
2,21,Preferred,Intermediate,10
2,18,Preferred,Advanced,12
2,28,Mandatory,Expert,15
2,14,Preferred,Intermediate,5
2,16,Preferred,Intermediate,5
3,1,Mandatory,Advanced,20
3,6,Mandatory,Advanced,15
3,7,Mandatory,Advanced,15
3,18,Preferred,Intermediate,12
3,21,Mandatory,Intermediate,10
3,14,Mandatory,Intermediate,8
3,28,Mandatory,Expert,15
3,16,Preferred,Intermediate,5
4,1,Mandatory,Expert,22
4,9,Mandatory,Advanced,18
4,11,Mandatory,Advanced,15
4,17,Preferred,Intermediate,10
4,18,Preferred,Advanced,10
4,28,Mandatory,Expert,15
4,29,Preferred,Advanced,5
4,16,Preferred,Intermediate,5
5,1,Mandatory,Expert,25
5,8,Mandatory,Advanced,20
5,31,Preferred,Advanced,12
5,32,Mandatory,Advanced,15
5,18,Preferred,Advanced,10
5,28,Mandatory,Expert,13
5,29,Preferred,Advanced,5
11,1,Preferred,Intermediate,15
11,6,Preferred,Intermediate,12
11,7,Mandatory,Intermediate,15
11,9,Preferred,Intermediate,10
11,14,Mandatory,Intermediate,12
11,2,Mandatory,Intermediate,15
11,28,Mandatory,Advanced,11
11,29,Mandatory,Advanced,10
12,1,Preferred,Intermediate,12
12,6,Mandatory,Intermediate,15
12,7,Mandatory,Intermediate,15
12,9,Preferred,Intermediate,10
12,14,Mandatory,Intermediate,12
12,2,Mandatory,Intermediate,15
12,21,Preferred,Beginner,8
12,28,Mandatory,Advanced,8
12,29,Mandatory,Advanced,5
21,1,Mandatory,Advanced,18
21,6,Mandatory,Advanced,15
21,18,Preferred,Intermediate,12
21,14,Mandatory,Intermediate,10
21,11,Preferred,Advanced,10
21,17,Preferred,Intermediate,8
21,28,Mandatory,Expert,15
21,29,Preferred,Advanced,7
21,16,Preferred,Intermediate,5
