placement_id,student_cgpa,branch,skills_possessed,internship_count,project_count,certifications,company_placed,package_lpa,placement_year,selection_round_cleared
1,8.7,CSE,"1,6,14,18,28,29,16",3,5,"Google Cloud,LeetCode Premium,Coursera ML",1,28,2023,Yes
2,8.2,CSE,"1,7,2,14,18,28,16",2,4,"Azure Fundamentals,GitHub,Microsoft Certified",2,25,2023,Yes
3,7.8,ECE,"1,6,9,11,17,28,29",1,3,"AWS Cloud Practitioner,React Certificate",3,20,2023,Yes
4,8.9,CSE,"1,6,18,19,21,28,14",4,6,"Google Cloud,System Design,Coursera ML,LeetCode Premium",1,32,2023,Yes
5,7.5,IT,"1,7,13,14,2,28,16",1,3,"Java Oracle,AWS Cloud Practitioner",3,18,2023,Yes
6,6.8,CSE,"1,6,7,14,2,28",0,2,"Java Basic,Python Coursera",11,4.2,2023,Yes
7,7.2,ECE,"1,9,11,10,17,28,29",1,2,"Web Development,JavaScript",12,5.5,2023,Yes
8,8.5,CSE,"1,6,18,19,37,28,14",3,5,"Meta Blueprint,React Certificate,System Design",4,30,2023,Yes
9,6.5,MECH,"28,29,27,20,39",0,1,"Digital Literacy,Basic Computer",11,3.8,2023,Yes
10,7.9,CSE,"1,6,9,11,12,17,28",2,4,"System Design,Java,Web Development",21,16,2023,Yes
11,8.1,ECE,"1,7,2,14,18,28",1,3,"Microsoft Certified,Azure Fundamentals",2,22,2023,Yes
12,7,IT,"1,6,14,2,28,16",1,2,"Programming Language,Database",15,6,2023,Yes
13,8.4,CSE,"1,8,31,28,14",3,4,"iOS Development,Swift Certified,App Store",5,35,2024,Yes
14,7.6,CSE,"1,6,19,20,37,28",2,3,"Data Science,Python,Machine Learning",23,12,2024,Yes
15,6.2,EEE,"7,14,2,28,29",0,1,"Java Basic,Programming",11,4,2024,Yes
16,8.8,CSE,"1,6,18,21,22,28,14",4,7,"Google Cloud,AWS,System Design,LeetCode Premium",1,35,2024,Yes
17,7.3,IT,"1,9,11,17,28,16",2,3,"Mobile Development,React,JavaScript",24,14,2024,Yes
18,8,ECE,"1,7,13,14,18,28",2,3,"Oracle Database,Java,Cloud",20,15,2024,Yes
19,6.9,CSE,"1,6,14,2,28",0,2,"Programming,Database",13,4.5,2024,Yes
20,7.7,CSE,"1,6,9,11,28,29",2,4,"System Design,Web Development,Backend",21,18,2024,Yes
21,8.3,CSE,"1,6,18,19,21,28",3,5,"AWS,Machine Learning,Python,System Design",3,22,2024,Yes
22,7.1,ECE,"1,9,11,17,28",1,2,"Frontend Development,JavaScript",15,7,2024,Yes
23,8.6,CSE,"1,6,18,21,22,28,14",4,6,"Google Cloud,AWS,Kubernetes,Docker",1,30,2024,Yes
24,6.7,IT,"6,7,14,2,28",0,2,"Java,Database",11,4.5,2024,Yes
25,7.8,CSE,"1,6,9,11,17,28",2,3,"React,Node.js,Full Stack",21,17,2024,Yes
26,8.1,EEE,"1,7,14,21,28",1,2,"Cloud Computing,Programming",14,8,2024,Yes
27,7.4,CSE,"1,6,19,20,28",1,3,"Data Science,Analytics,Python",19,10,2024,Yes
28,6.3,MECH,"28,29,27",0,1,"Basic Computer,Digital Skills",11,3.6,2024,Yes
29,8.7,CSE,"1,6,18,19,21,28,14",4,6,"Google Cloud,ML,AWS,System Design",4,33,2024,Yes
30,7,IT,"1,9,11,12,17,28",1,3,"Web Development,Backend,API",24,13,2024,Yes
