internship_type,company_tier,duration_months,tier1_boost_per_internship,tier2_boost_per_internship,tier3_boost_per_internship,skill_development_score
Software Development,Tier1,3,0.15,0.08,0.05,9
Software Development,Tier2,3,0.08,0.1,0.06,7
Software Development,Tier3,3,0.05,0.08,0.08,6
Data Science,Tier1,3,0.12,0.07,0.04,8
Data Science,Tier2,3,0.08,0.08,0.05,7
Product Management,Tier1,3,0.1,0.06,0.04,7
DevOps/Cloud,Tier1,3,0.12,0.08,0.05,8
DevOps/Cloud,Tier2,3,0.08,0.09,0.06,7
Research Internship,Academic,6,0.08,0.05,0.03,8
Startup Internship,Startup,3,0.06,0.08,0.07,7
Government Internship,Government,3,0.03,0.05,0.06,5
Remote Internship,Remote,3,0.05,0.06,0.06,6
